[BACKFILL] Markets to process: 360 (limit=2000, geo_only=True, dry_run=True)
[DRY-RUN][CLOB-ASSERT] 0x005aa3a9e019fade82... 'Will Trump talk to Xi Jinping in October' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x02f8dd15d4c674a75f... 'Israel x Hezbollah Ceasefire extended by' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x0425c582c43e27c6d7... 'Will the Iran ceasefire continue through' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x079ac7dd50c847d292... 'US forces enter Iran by February 28?' → end_date=None, winning_outcome='No', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0x07d45de444dbe0595c... 'US x Iran ceasefire by March 15?' → end_date=None, winning_outcome='No', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0x08314247ca5dbad3d2... 'Will Donald Trump announce Bryan Slater ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x0881547b72d4e95cd1... 'Will Salvador Alejandro César Nasralla S' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x08b25cc98d052b9791... 'Will Donald Trump announce Andrew Puzder' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x0942f5ee13a4cdb53b... 'Will France strike Iran by March 31?' → end_date=None, winning_outcome='No', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0x0e0c5054cb3ee522c6... 'Will Donald Trump say "Hamas" or "Hezbol' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x0e492f3b3badd8fe3c... 'Will the California redistricting refere' → end_date=None, winning_outcome='No', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0x0fb536d5f0f2bc012b... 'Will Donald Trump say "F-35" during Isra' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x101b7888bf1b299591... 'Will Canada strike Iran by March 31?' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x101d521eea2a04b8bf... 'Will UK strike Iran by March 31?' → end_date=None, winning_outcome='No', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0x11176fe75f4b11e08f... 'Will Donald Trump be shown 6-8 times at ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x132bb77ee169500475... 'Will Nasry Juan Asfura Zablah win the 20' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x13419cc3e895bf6022... 'Will the Iran ceasefire continue through' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x13badb4becfa64ea1c... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x14102086b9a7b8d2b6... 'Will Israel first announce ceasefire on ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x149e2cdbf5b3df3142... 'Will Saudi Arabia strike Iran by March 3' → end_date=None, winning_outcome='No', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0x16eab142ef1f6a1a39... 'Will Eileen Higgins win the Miami Mayora' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x179791767d3bad170d... 'Odds of US x Venezuela military engageme' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x1c711cdf3910be7611... 'Will Abdoulaye Yéro Baldé win the 2025 G' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x1ca2465222c60f5803... 'Will Pierre-Yves Bournazel win the Paris' → end_date=None, winning_outcome='No', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0x1d2b34156107ca30b2... 'Will Trump say "Democrat" 4+ times durin' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x1e3b73f92bdca9479b... 'Will Donald Trump say "Biden's war" duri' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x1f78a02341c8993efc... 'Lee Jae-myung out as president of South ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x2064296b3739eb6e7b... 'Will the next Dutch government be GL/Pvd' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x22fe0f993bb899d3ae... 'Will Qatar strike Iran by March 31?' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x25472a241bfe8d256c... 'Will the Conservative Party win between ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x26427ad21db2772d52... 'Will ANO get between 33% and 36% of the ' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x276a14b8bc1bc374be... 'Will the Iran ceasefire continue through' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x285908f7d6ef04ca37... 'Will the US strike Iran next?' → end_date=None, winning_outcome='No', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0x293aeb6dd98468c3f4... 'Will Iran strike East–West Crude Oil Pip' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x2bb23a4c06f1de1ce4... 'Will the next Dutch government be GL/Pvd' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x2c590f64dae5c9bf34... 'Will Iran strike Ras Laffan Industrial C' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x2e3e4685c17020bb44... 'Will Catherine Connolly win the Irish Pr' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x2e91b977e2e53873f9... 'Will ANO get between 30% and 33% of the ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x2f65bf28b7957d730b... 'Will Donald Trump say "pardon" during Is' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x2f7fa03d7387acee61... 'Will Janeese Lewis George win the 2026 D' → end_date=None, winning_outcome='Yes', accepted=True, reason='written'
[DRY-RUN][CLOB-ASSERT] 0x32753521bd6c2cdf48... 'Will the next Dutch government be VVD + ' → end_date=None, winning_outcome='No', accepted=True, reason='written: existing value has no recorded evidence_source (pre-canonical), proposal accepted'
[DRY-RUN][CLOB-ASSERT] 0x33c6c4906d923ac541... 'Will the next Dutch government be PVV + ' → end_date=None, winning_outcome='No', accepted=True, reason='written'
