idx,market_id,title,market_slug,event_slug,event_title,stratum,stored_label,classifier_call,batch_position,title_len,has_slug_context,m9_keyword_path,provisional_verdict,subtype,provisional_reason
1,0x08aa2a321938ab99bb9ffc7dbafbbe512fff9d5eece4c5cc87fa6e51b0b4632c,Will Florida be Trump's best state on March 19?,will-florida-be-trumps-best-state-on-march-19,trumps-best-state-on-march-19,Trump's best state on March 19?,gamma_backfill,Elections,NotRelevant,8,47,Y,Y,GENUINELY_AMBIGUOUS,polling-adjacent,"Trump-branded 'best state' ranking gimmick; not a vote/office outcome nor his official conduct -- resembles approval-style tracking, defensibly either way"
2,0x1ba687c15f74315948eabda2f8ade2971784424bcd8291dbf1a2f76818586c10,"Will Trump say ""Colorado"" during his FOX Noticias interview?",will-trump-say-colorado-during-his-fox-noticias-interview,what-will-trump-say-during-fox-noticias-interview-on-april-15-16,What will Trump say during FOX Noticias interview on April 15-16?,gamma_backfill,Elections,NotRelevant,20,60,Y,Y,CLASSIFIER_MISS,say/post-prop,explicit 'will Trump say X during [event]' appearance-prop scoped to a political interview -- textbook prompt carve-in
3,0x42276c0a2a8b4416d4e96643eb27f95bf71e4632d64f8b0fc86050e9c1e43c06,"Will Trump say ""Constitutional"" during today's event with the Governor of Louisiana?",will-trump-say-constitutional-during-todays-event-with-the-governor-of-louisiana,what-will-trump-say-during-todays-event-with-the-governor-of-louisiana,What will Trump say during today's event with the Governor of Louisiana?,gamma_backfill,Elections,NotRelevant,15,84,Y,Y,CLASSIFIER_MISS,say/post-prop,"same carve-in, scoped to an official gubernatorial event"
4,0x4230df24c21af4c7c091e85680d62d35f7cbbb03373247685c01c65c19b6e072,"Will Trump say ""MAGA"" during his Mar-a-Lago press conference?",will-trump-say-maga-during-his-mar-a-lago-press-conference,what-will-trump-say-during-mar-a-lago-press-conference,What will Trump say during Mar-a-Lago press conference?,gamma_backfill,Elections,NotRelevant,19,61,Y,Y,CLASSIFIER_MISS,say/post-prop,"same carve-in, scoped to a press conference"
5,0x5120003ac4bdaa91706027d530637e964a59d854d01467db323cf37c37eefe3a,"Will anyone say ""Uganda"" or ""Venezuela"" during 1st NYC mayoral debate on October 16?",will-anyone-say-uganda-or-venezuela-during-1st-nyc-mayoral-debate-on-october-16-537,what-will-be-said-at-1st-nyc-mayoral-debate-on-october-16-288,What will be said at 1st NYC mayoral debate on October 16?,gamma_backfill,Elections,NotRelevant,20,84,Y,Y,CLASSIFIER_MISS,say/post-prop,'anyone say X' scoped to an official NYC mayoral debate -- political event
6,0xaaa219cff0f1a418e0fa2aa11b47a3bc642e499dffc19312c55b25fad570bd18,"Will Trump say ""Family"" or ""Friend"" 3+ times at Christmas Tree Lighting on December 4?",will-trump-say-family-or-friend-3-times-at-christmas-tree-lighting-on-december-4,what-will-trump-say-during-christmas-tree-lighting-on-december-4,What will Trump say during Christmas Tree Lighting on December 4?,gamma_backfill,Elections,NotRelevant,15,86,Y,Y,CLASSIFIER_MISS,say/post-prop,scoped to an official WH event (Christmas Tree Lighting)
7,0xafbd33d7fe0c91e1c8b52fa7a5355218edf469a2962f93331e2ae2286ebd2793,"Will Trump say ""Bitcoin"" or ""Crypto"" at CPAC conference on Saturday?",will-trump-say-bitcoin-or-crypto-at-cpac-conference-on-saturday,what-will-trump-say-at-cpac-conference-on-saturday,What will Trump say at CPAC conference on Saturday?,gamma_backfill,Elections,NotRelevant,10,68,Y,Y,CLASSIFIER_MISS,say/post-prop,"scoped to CPAC, a political conference"
8,0xb5a2b3f39ffab4daea8a0cbfd07374dc61016aba17b5c9d3cc38b709f0302182,Will Trump tweet 30-34 times October 4-11?,will-trump-tweet-30-34-times-october-4-11,donald-trump-of-tweets-oct-4-11,Donald Trump # of tweets Oct 4-11?,gamma_backfill,Elections,NotRelevant,6,42,Y,Y,CLASSIFIER_MISS,tweet-count,Trump tweet-count market; his social-media conduct in office
9,0xb671e3a9870ae8a9c7c1487d72b5315fa10a0984cd9e6ac5b085184c11e973bd,Will Trump's UN speech be between 40 and 45 minutes?,will-trumps-un-speech-be-between-40-and-45-minutes-745,how-many-minutes-will-trumps-un-speech-be,How many minutes will Trump's UN Speech be? ,gamma_backfill,Elections,NotRelevant,18,52,Y,Y,CLASSIFIER_MISS,speech-length,UN speech duration -- appearance scoped to a diplomatic/political event
10,0xbc42c868e9aa469f51412f133a82824cd962a55383e7987e2ce19aa947c78784,"Will ""Trump"" be in the manifesto?",will-trump-be-in-the-manifesto,brian-thompson-perp-manifesto-mentions,What will Luigi Mangione say in his manifesto?,gamma_backfill,Elections,NotRelevant,5,33,Y,Y,STORED_LABEL_ERROR,personal/unrelated,"about whether 'Trump' appears in Luigi Mangione's manifesto -- not Trump's conduct, keyword collision on his name"
